r JSD_rnd KL_rnd JSD_alg KL_alg
0.000000 0.000000 0.000000 -0.000000 0.000000
0.020000 0.014608 0.060537 0.006014 0.024820
0.050000 0.067104 0.300788 0.028392 0.124549
0.100000 0.237508 1.429977 0.114965 0.624565
0.200000 0.487539 4.209049 0.477857 3.407882
0.400000 0.612747 7.471369 0.638449 8.614877
0.600000 0.641833 10.051503 0.678589 11.718396
1.000000 0.667984 12.536767 0.686388 15.523819
