r dNLL dMargin chi2 df
0.000000 0.000000 0.000000 0.0 126
0.020000 -0.070620 0.142857 10.025739669799805 126
0.050000 -0.098637 0.119048 26.314834594726562 126
0.100000 -0.045605 -0.081349 56.645790100097656 126
0.200000 1.135313 -0.551587 201.8355712890625 126
0.400000 1.629723 -0.572421 317.0351867675781 126
0.600000 1.545125 -0.308532 301.0550537109375 126
1.000000 1.103286 -0.686508 183.9499053955078 126
