r dNLL dMargin chi2 df
0.000000 0.000000 0.000000 0.0 126
0.020000 0.037606 -0.031746 2.4665136337280273 126
0.050000 0.085619 -0.042659 9.889697074890137 126
0.100000 0.185048 -0.055556 37.5751953125 126
0.200000 0.596266 -0.014881 116.61275482177734 126
0.400000 0.953577 -0.002976 133.35073852539062 126
0.600000 1.552665 -0.148810 212.63137817382812 126
1.000000 0.848947 -0.155754 97.68761444091797 126
