r D_mean D_cov D_KL D_TV D_rank
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 0.0128 0.0286 0.0275 0.0870 0.0046
0.0500 0.0400 0.0968 0.2301 0.2555 0.0363
0.1000 0.1629 0.3914 0.9680 0.5110 0.2086
0.2000 0.1600 0.5262 4.7647 0.8648 0.5640
0.4000 0.4674 0.5170 13.1882 0.9944 0.7617
0.6000 1.2079 1.0418 23.0286 0.9998 0.8803
1.0000 2.8122 3.6731 26.6323 1.0000 0.9484
