r D_mean D_cov D_KL D_TV D_rank
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 0.0114 0.0460 0.0164 0.0626 0.0037
0.0500 0.0287 0.1372 0.0992 0.1440 0.0207
0.1000 0.0784 0.2370 0.5246 0.3515 0.1110
0.2000 0.1440 0.4105 3.2754 0.7810 0.3895
0.4000 0.2387 0.5950 9.2107 0.9683 0.7659
0.6000 0.3845 0.6585 12.9029 0.9900 1.0222
1.0000 0.5451 0.5918 14.7039 0.9931 0.9775
