r JSD_rnd KL_rnd JSD_alg KL_alg
0.000000 0.000000 0.000000 -0.000000 0.000000
0.020000 0.189427 1.099431 0.008121 0.032463
0.050000 0.380113 2.866527 0.042258 0.175400
0.100000 0.529138 5.719437 0.143156 0.731946
0.200000 0.647873 9.798012 0.598267 5.545776
0.400000 0.689983 19.990317 0.687660 17.840061
0.600000 0.692198 21.703350 0.692573 23.345523
1.000000 0.693049 23.102161 0.693130 26.512365
