r D_mean D_cov D_KL D_TV D_rank
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 0.0074 0.0118 0.0102 0.0551 0.0013
0.0500 0.0185 0.0334 0.0562 0.1270 0.0069
0.1000 0.0378 0.0605 0.2181 0.2462 0.0263
0.2000 0.1176 0.2894 1.0944 0.5138 0.1445
0.4000 0.2165 0.8435 5.7986 0.9245 0.6342
0.6000 0.3234 0.8413 9.6807 0.9791 0.9826
1.0000 0.3919 0.6607 11.3151 0.9872 0.9656
